 Time,Amplitude
  0.019501, -0.097619
  0.019524, -0.097732
  0.019546, -0.097846
  0.019569, -0.097959
  0.019592, -0.098073
  0.019615, -0.098186
  0.019637, -0.098299
  0.019660, -0.098413
  0.019683, -0.098526
  0.019705, -0.098639
  0.019728, -0.098753
  0.019751, -0.098866
  0.019773, -0.098980
  0.019796, -0.099093
  0.019819, -0.099206
  0.019841, -0.099320
  0.019864, -0.099433
  0.019887, -0.099546
  0.019909, -0.099660
  0.019932, -0.099773
  0.019955, -0.099887
  0.019977, -0.100000
  0.020000, -0.100113
  0.020023, -0.100227
  0.020045, -0.100340
  0.020068, -0.100454
  0.020091, -0.100567
  0.020113, -0.100680
  0.020136, -0.100794
  0.020159, -0.100907
  0.020181, -0.101020
  0.020204, -0.101134
  0.020227, -0.101247
  0.020249, -0.101361
  0.020272, -0.101474
  0.020295, -0.101587
  0.020317, -0.101701
  0.020340, -0.101814
  0.020363, -0.101927
  0.020385, -0.102041
  0.020408, -0.102154
  0.020431, -0.102268
  0.020454, -0.102381
  0.020476,  0.102494
  0.020499,  0.102608
  0.020522,  0.102721
  0.020544,  0.102834
  0.020567,  0.102948
  0.020590,  0.103061
  0.020612,  0.103175
  0.020635,  0.103288
  0.020658,  0.103401
  0.020680,  0.103515
  0.020703,  0.103628
  0.020726,  0.103741
  0.020748,  0.103855
  0.020771,  0.103968
  0.020794,  0.104082
  0.020816,  0.104195
  0.020839,  0.104308
  0.020862,  0.104422
  0.020884,  0.104535
  0.020907,  0.104649
  0.020930,  0.104762
  0.020952,  0.104875
  0.020975,  0.104989
  0.020998,  0.105102
  0.021020,  0.105215
  0.021043,  0.105329
  0.021066,  0.105442
  0.021088,  0.105556
  0.021111,  0.105669
  0.021134,  0.105782
  0.021156,  0.105896
  0.021179,  0.106009
  0.021202,  0.106122
  0.021224,  0.106236
  0.021247,  0.106349
  0.021270,  0.106463
  0.021293,  0.106576
  0.021315,  0.106689
  0.021338,  0.106803
  0.021361,  0.106916
  0.021383,  0.107029
  0.021406,  0.107143
  0.021429,  0.107256
  0.021451,  0.107370
  0.021474,  0.107483
  0.021497,  0.107596
  0.021519,  0.107710
  0.021542,  0.107823
  0.021565,  0.107937
  0.021587,  0.108050
  0.021610, -0.108163
  0.021633, -0.108277
  0.021655, -0.108390
  0.021678, -0.108503
  0.021701, -0.108617
  0.021723, -0.108730
  0.021746, -0.108844
  0.021769, -0.108957
  0.021791, -0.109070
  0.021814, -0.109184
  0.021837, -0.109297
  0.021859, -0.109410
  0.021882, -0.109524
  0.021905, -0.109637
  0.021927, -0.109751
  0.021950, -0.109864
  0.021973, -0.109977
  0.021995, -0.110091
  0.022018, -0.110204
  0.022041, -0.110317
  0.022063, -0.110431
  0.022086, -0.110544
  0.022109, -0.110658
  0.022132, -0.110771
  0.022154, -0.110884
  0.022177, -0.110998
  0.022200, -0.111111
  0.022222, -0.111224
  0.022245, -0.111338
  0.022268, -0.111451
  0.022290, -0.111565
  0.022313, -0.111678
  0.022336, -0.111791
  0.022358, -0.111905
  0.022381, -0.112018
  0.022404, -0.112132
  0.022426, -0.112245
  0.022449, -0.112358
  0.022472, -0.112472
  0.022494, -0.112585
  0.022517, -0.112698
  0.022540, -0.112812
  0.022562, -0.112925
  0.022585, -0.113039
  0.022608, -0.113152
  0.022630, -0.113265
  0.022653, -0.113379
  0.022676, -0.113492
  0.022698, -0.113605
  0.022721, -0.113719
  0.022744,  0.113832
  0.022766,  0.113946
  0.022789,  0.114059
  0.022812,  0.114172
  0.022834,  0.114286
  0.022857,  0.114399
  0.022880,  0.114512
  0.022902,  0.114626
  0.022925,  0.114739
  0.022948,  0.114853
  0.022971,  0.114966
  0.022993,  0.115079
  0.023016,  0.115193
  0.023039,  0.115306
  0.023061,  0.115420
  0.023084,  0.115533
  0.023107,  0.115646
  0.023129,  0.115760
  0.023152,  0.115873
  0.023175,  0.115986
  0.023197,  0.116100
  0.023220,  0.116213
  0.023243,  0.116327
  0.023265,  0.116440
  0.023288,  0.116553
  0.023311,  0.116667
  0.023333,  0.116780
  0.023356,  0.116893
  0.023379,  0.117007
  0.023401,  0.117120
  0.023424,  0.117234
  0.023447,  0.117347
  0.023469,  0.117460
  0.023492,  0.117574
  0.023515,  0.117687
  0.023537,  0.117800
  0.023560,  0.117914
  0.023583,  0.118027
  0.023605,  0.118141
  0.023628,  0.118254
  0.023651,  0.118367
  0.023673,  0.118481
  0.023696,  0.118594
  0.023719,  0.118707
  0.023741,  0.118821
  0.023764,  0.118934
  0.023787,  0.119048
  0.023810,  0.119161
  0.023832,  0.119274
  0.023855,  0.119388
  0.023878, -0.119501
  0.023900, -0.119615
  0.023923, -0.119728
  0.023946, -0.119841
  0.023968, -0.119955
  0.023991, -0.120068
  0.024014, -0.120181
  0.024036, -0.120295
  0.024059, -0.120408
  0.024082, -0.120522
  0.024104, -0.120635
  0.024127, -0.120748
  0.024150, -0.120862
  0.024172, -0.120975
  0.024195, -0.121088
  0.024218, -0.121202
  0.024240, -0.121315
  0.024263, -0.121429
  0.024286, -0.121542
  0.024308, -0.121655
  0.024331, -0.121769
  0.024354, -0.121882
  0.024376, -0.121995
  0.024399, -0.122109
  0.024422, -0.122222
  0.024444, -0.122336
  0.024467, -0.122449
  0.024490, -0.122562
  0.024512, -0.122676
  0.024535, -0.122789
  0.024558, -0.122902
  0.024580, -0.123016
  0.024603, -0.123129
  0.024626, -0.123243
  0.024649, -0.123356
  0.024671, -0.123469
  0.024694, -0.123583
  0.024717, -0.123696
  0.024739, -0.123810
  0.024762, -0.123923
  0.024785, -0.124036
  0.024807, -0.124150
  0.024830, -0.124263
  0.024853, -0.124376
  0.024875, -0.124490
  0.024898, -0.124603
  0.024921, -0.124717
  0.024943, -0.124830
  0.024966, -0.124943
  0.024989, -0.125057
  0.025011,  0.125170
  0.025034,  0.125283
  0.025057,  0.125397
  0.025079,  0.125510
  0.025102,  0.125624
  0.025125,  0.125737
  0.025147,  0.125850
  0.025170,  0.125964
  0.025193,  0.126077
  0.025215,  0.126190
  0.025238,  0.126304
  0.025261,  0.126417
  0.025283,  0.126531
  0.025306,  0.126644
  0.025329,  0.126757
  0.025351,  0.126871
  0.025374,  0.126984
  0.025397,  0.127098
  0.025420,  0.127211
  0.025442,  0.127324
  0.025465,  0.127438
  0.025488,  0.127551
  0.025510,  0.127664
  0.025533,  0.127778
  0.025556,  0.127891
  0.025578,  0.128005
  0.025601,  0.128118
  0.025624,  0.128231
  0.025646,  0.128345
  0.025669,  0.128458
  0.025692,  0.128571
  0.025714,  0.128685
  0.025737,  0.128798
  0.025760,  0.128912
  0.025782,  0.129025
  0.025805,  0.129138
  0.025828,  0.129252
  0.025850,  0.129365
  0.025873,  0.129478
  0.025896,  0.129592
  0.025918,  0.129705
  0.025941,  0.129819
  0.025964,  0.129932
  0.025986,  0.130045
  0.026009,  0.130159
  0.026032,  0.130272
  0.026054,  0.130385
  0.026077,  0.130499
  0.026100,  0.130612
  0.026122,  0.130726
  0.026145, -0.130839
  0.026168, -0.130952
  0.026190, -0.131066
  0.026213, -0.131179
  0.026236, -0.131293
  0.026259, -0.131406
  0.026281, -0.131519
  0.026304, -0.131633
  0.026327, -0.131746
  0.026349, -0.131859
  0.026372, -0.131973
